192.168.100.47.49369>197.156.74.141.443,936789/1029597/70494/1640017/126851/2101105/192991/1606267/2101105/295778/2101105/2101105/1975551/429328/2101105/1947879/2101105/1921198/2101105/444704/1523941/2058093/2050934/1722467/1899373/446223/1670589/2101105/1541069/1666099/2101105/443149/2101105/1919671/1411828/1874805/2101105/438161/2101105/2101105/1422626/2101105/1977917/2101105/456159/2101105/1547127/1443057/2041177/2101105/427082/2101105/2101105/1493392/1595784/1386509/447223/2024728/2101105/1623705/1622739/1989043/438515/1510961/2101105/2101105/1565798/2101105/438243/2101105/1517077/1353473/1308500/2101105/464528/1385569/2101105/1758073/1622027/1500059/459019/2032555/2101105/1456073/1480100/2101105/1574599/435159/1483983/2101105/2030355/2017193/443072/1530245/1833951/1955901/2101105/1383258/433608/1891461/1983476/1264803/2101105/2054166/444533/1975193/1416007/1878190/1268706/1340588/445590/2101105/1358748/1302621/2101105/860626/
192.168.100.47.52345>74.125.167.89.443,600954/599878/843551/68810/135315/1948692/189437/1800362/299875/1623003/1642829/461334/1722752/1402292/1839775/453324/2101106/2101106/1739481/468846/1395643/1929340/2101106/465788/2044116/1971662/450779/2090618/2101106/1552366/1274306/460899/1270728/2101106/1709103/1673844/458985/2101106/1459979/1852010/457263/1644553/1876634/1809598/457123/2006630/1519965/453983/2101106/1295496/2101106/2101106/454146/1393958/1297793/2101106/1314029/480158/1284795/1860561/1876103/1880221/474148/1746044/1749430/84501/
192.168.100.47.49785>197.156.74.143.443,403144/75556/785518/160046/2101105/314332/1963926/336470/1281820/1579720/515446/2101105/1838070/
192.168.100.47.52502>74.125.98.7.443,67264/744632/67313/131763/1748166/1933550/195645/316090/1895043/1753904/456669/1726063/1481928/1524112/451221/1781335/2101105/1652130/454598/1738158/1709672/141967/760236/
192.168.100.47.49846>197.156.74.140.443,667125/661840/76917/1374335/152253/1382472/1362810/202868/2101106/1786097/312921/1322391/1846569/591598/1872725/1748488/1581011/1784963/460514/1493892/1736813/1421630/449383/1498504/1361993/2101106/464501/1795633/1450697/1520158/457976/1564541/1740965/1674701/458868/2072168/1377014/596261/2101106/1531545/1361627/1684848/449803/1809563/1506938/1395543/469520/2101106/1811138/2064092/574684/1438603/1600674/1799181/595006/2101106/1759915/1701004/2101106/582840/1990339/1954702/2101106/1713026/471004/1514665/1548812/1493209/484567/2040195/1504867/448568/1667055/1817735/1267016/472246/1956558/2101106/2101106/1596794/469182/2101106/1634486/2101106/474662/2101106/2064504/1606502/466015/1731893/2101106/1704166/463593/2068031/
192.168.100.47.52569>74.125.98.9.443,560989/497380/1058924/66707/1821091/99728/211380/1608339/1914970/292587/1472879/2101105/417945/1803103/1418502/2101105/430013/1666323/1265043/1400695/2101105/456969/1399260/1442118/1691541/444691/1294329/1971984/2101105/471166/1683073/1995523/1686793/1908887/445587/1955932/1266236/435673/2098705/1970295/1895252/461445/1708169/1882514/1613425/457874/1330248/1479164/1890988/434153/1981164/1898431/1372912/430212/1409858/1838261/1539860/1375084/462052/1622886/1430904/1831179/2101105/446458/2101105/2007963/449189/1758119/1429395/2101105/1272493/435503/1834803/1938994/1470682/458167/2101105/1848410/990046/
192.168.100.47.49980>213.55.110.12.443,336689/1782154/2101105/467899/1643645/1440598/1956986/1691308/469086/
192.168.100.47.49997>74.125.98.38.443,966003/66707/76918/158331/2101105/302659/1366038/1233476/1378646/1532776/1785788/482007/2050302/520800/
192.168.100.47.52662>74.125.98.38.443,600242/73737/154149/1683017/255055/1859192/354526/1716075/504959/1935632/1990830/514645/1978160/1673235/1916705/501929/1792268/2101105/1637017/494430/2101105/1893943/1645726/644807/2101105/1967940/1671733/1372940/517472/1518407/2016297/523222/1952526/1629876/516421/1913754/2035837/502737/1903094/1648950/496017/2066031/2101105/496961/1837429/1808540/1431929/2101105/491740/1694800/1478649/500462/1500778/1816987/483396/2041830/1985205/502808/1932501/1780084/636017/1702660/1602228/2052001/1598252/612795/1838465/1612372/1595125/
192.168.100.47.50067>213.55.110.14.443,379093/68717/942337/132738/248449/1597043/332077/1714929/499839/2023514/1845795/509770/1897864/490446/2013828/287879/846679/
