192.168.100.47.51977>74.125.167.88.443,1304499/1856646/67743/1603873/127949/2097152/2097152/219272/2097152/1335551/2097152/2097152/350845/2097152/2097152/1416373/2097152/2097152/527481/2097152/2097152/2097152/1595320/1970363/488049/1619584/2097152/2097152/2097152/2097152/2097152/2097152/496153/1650673/2097152/2097152/1259907/2097152/2097152/1289902/2097152/2097152/497718/2097152/1514437/2097152/2097152/1323697/2097152/2097152/2097152/500879/1964685/1635852/2097152/2097152/1903679/2097152/515511/2097152/2097152/2097152/2097152/2097152/2097152/1832288/522793/2097152/2097152/2097152/1697016/2097152/2097152/1311220/2097152/2097152/519823/2097152/1340052/2097152/2097152/1886962/2097152/2097152/1557873/509685/
192.168.100.47.51978>74.125.167.88.443,67860/
192.168.100.47.52003>74.125.11.230.443,4096/2097152/4482/539564/4096/762392/2097152/352143/1599890/2097152/1343581/510606/1833999/2097152/
192.168.100.47.52006>74.125.167.88.443,4096/2097152/
192.168.100.47.52010>74.125.167.88.443,4096/2097152/2097152/2097152/1926128/508643/2097152/2097152/2097152/1934534/2097152/2097152/2097152/499579/1320734/2097152/1285023/2097152/2097152/2097152/2097152/513899/2097152/2097152/2097152/1342637/499340/2097152/1657483/2097152/2097152/2097152/1740024/2097152/2097152/504221/2097152/1734869/2097152/2097152/2097152/2097152/1922695/528531/2097152/2097152/1461757/2097152/2097152/2097152/2097152/1865387/510385/2097152/2097152/1392085/2097152/1909076/2000765/498211/2097152/2097152/1281769/2097152/2097152/1459343/2097152/2097152/1345887/532192/2097152/2097152/1260764/2097152/2097152/2097152/1500260/2097152/1733589/507553/2097152/2097152/2097152/2097152/
192.168.100.47.65456>74.125.167.92.443,6387/
192.168.100.47.65468>74.125.167.91.443,65917/
192.168.100.47.65469>74.125.167.91.443,224799/69219/564508/111893/226846/1213179/387695/1838826/288022/
192.168.100.47.52095>74.125.167.71.443,1403245/1799573/65536/1857140/108489/2097152/209106/2097152/2097152/2097152/373014/2097152/2097152/2097152/2097152/1407914/1700922/515431/2097152/2097152/2097152/2097152/2097152/2097152/2097152/502092/1906970/2097152/1881279/2097152/2097152/2097152/2097152/2097152/1279006/518885/2097152/1697281/1410100/2097152/2097152/528695/2097152/2097152/1955297/1708649/1864932/1830077/2097152/2097152/522043/2006212/1664123/1307451/1596238/1978201/2097152/2097152/533165/2097152/2063147/1827855/2097152/2097152/1265243/2097152/2097152/493982/2097152/2097152/2097152/1828740/2097152/2019693/2061434/547477/1329582/1849969/2097152/2097152/2097152/559852/2097152/2097152/1915229/1756962/2097152/511690/2097152/2097152/2097152/1483017/2097152/2097152/1988812/477417/2097152/1282295/1916210/2097152/2097152/2097152/2097152/2097152/2097152/2097152/510896/2097152/2097152/2097152/1509369/2097152/2097152/2097152/2097152/1712984/483143/2097152/1542561/1531103/2097152/493585/1558349/2097152/2097152/2097152/2097152/498031/2097152/1768179/1821854/2097152/2034975/524635/2097152/2097152/2097152/2097152/1654491/2097152/522268/2097152/2097152/2097152/1639261/1949832/
192.168.100.47.52096>74.125.167.71.443,66768/
192.168.100.47.52134>74.125.167.71.443,4096/
