E:\\pcap_data\\VBR_dataset1\\mitm\10_2023_04_08_06_09_00,397,video,https://www.youtube.com/watch?v=5b_lIKhvThM,480p,600,/3635/188656/188656/188656/202767/396367/625815/1465369/1918617/2067005/1951875/1986785/366862/1772207/1841569/1861633/1848428/2075830/1933057/2003207/1957128/2063462/1813129/1840060/1923046/1775325/2059487/1731666/1832211/2064273/2034828/1835970,/192.168.32.180.56749>74.125.164.168.443/192.168.32.180.56776>173.194.4.7.443/192.168.32.180.56778>74.125.164.168.443,0,1,3,0,32,/12/2/18,/192.168.32.180.56749>74.125.164.168.443/192.168.32.180.56776>173.194.4.7.443/192.168.32.180.56778>74.125.164.168.443
E:\\pcap_data\\VBR_dataset1\\mitm\10_2023_04_08_06_19_40,396,video,https://www.youtube.com/watch?v=5b_lIKhvThM,360p,600,/3635/101061/101061/101061/101061/233037/339728/819567/1440844/1524017/1419659/1370081/1463113/1482038/1484252/1451828/1499112/1552435/1560458/1400792/1462939/1388829/1360454/1441323/1428233,/192.168.32.180.56873>74.125.164.168.443/192.168.32.180.56872>74.125.164.168.443,0,1,2,0,25,/1/24,/192.168.32.180.56873>74.125.164.168.443/192.168.32.180.56872>74.125.164.168.443
E:\\pcap_data\\VBR_dataset1\\mitm\10_2023_04_08_06_30_20,395,video,https://www.youtube.com/watch?v=5b_lIKhvThM,240p,600,/3635/65535/44698/82792/126496/313677/699517/693427/661714/705208/680012/724823/647025/680046/669041/689141/741995/671584/678641/698156/672675/673621/690079/703858,/192.168.32.180.56938>173.194.4.7.443,0,1,1,0,24,/24,/192.168.32.180.56938>173.194.4.7.443
E:\\pcap_data\\VBR_dataset1\\mitm\10_2023_04_08_06_40_57,394,video,https://www.youtube.com/watch?v=5b_lIKhvThM,144p,600,/3635/46599/52321/73493/150999/313498/342799/314293/342770/348082/341384/330465/316253/326673/328153/328248/306560/333983/333042/353548/318928/323650/317036/333731,/192.168.32.180.57043>173.194.4.7.443,0,1,1,0,24,/24,/192.168.32.180.57043>173.194.4.7.443
E:\\pcap_data\\VBR_dataset1\\mitm\11_2023_04_08_06_51_52,399,video,https://www.youtube.com/watch?v=6l00o17DHSs,1080p,600,/17699/426756/486952/518375/1468388/1970093/1923543/1866596/1861673/1914610/1866378/1799633/1866053/1913096/1865419/1860044/1915099/1807434/1467438/2091184/2026742/1970781/1914651/1913706/2026661/1969528/1917767/1661549/1970973/1914675/1914795/1914301/1969880/1864576/1808213/1893900/1861102/1967861/1913810/1913588,/192.168.32.180.57180>74.125.101.135.443/192.168.32.180.57181>74.125.101.135.443,0,0,2,0,40,/1/39,/192.168.32.180.57180>74.125.101.135.443/192.168.32.180.57181>74.125.101.135.443
E:\\pcap_data\\VBR_dataset1\\mitm\15_2023_04_08_10_04_38,303,video,https://www.youtube.com/watch?v=8A0ylonIRzU,1080p50,290,/1277/921126/1107234/21296/1107234/1324782/1787486/1577611/2097151/2097151/1886982/2097151/2097151/2097151/2097151/2097151/1919451/1468688/2097151/2097151/2097151/2097151/2097151/2097151/1901503/2097151/2097151/2097151/2097151/2097151/1602277/1885124/2097151/2097151/2097151/2097151/1893591/2097151/2097151/1447560/2097151/2097151/2097151/1834772/2097151/1635172/2097151/1358909/1436299/1559129/1968610/2047661/2097151/1504224/2097151/2097151/2097151/1392046/2097151/1622870/2097151/2097151/2097151/1475525,/192.168.32.180.59215>172.217.145.74.443/192.168.32.180.59211>172.217.145.74.443/192.168.32.180.59241>74.125.96.138.443,0,1,3,1,64,/1/2/8/53,/192.168.32.180.59215>172.217.145.74.443/192.168.32.180.59211>172.217.145.74.443/192.168.32.180.59241>74.125.96.138.443/192.168.32.180.59215>172.217.145.74.443
E:\\pcap_data\\VBR_dataset1\\mitm\15_2023_04_08_10_10_06,302,video,https://www.youtube.com/watch?v=8A0ylonIRzU,720p50,290,/1269/462000/624078/1674942/1652180/1665023/2097151/1471133/2097151/2034300/1454049/2097151/2097151/1292160/2097151/1718900/2097151/1658594/1591575/2097151/1629329/1626684/1679947/1691960/1697991/1505651/1654943/1692249/2061318/1826980/2097151/1373053/1940395/2097151/1688249/1662635/1785758/1487339/1397726,/192.168.32.180.59280>74.125.171.38.443/192.168.32.180.59293>74.125.171.38.443,0,1,2,0,39,/1/38,/192.168.32.180.59280>74.125.171.38.443/192.168.32.180.59293>74.125.171.38.443
E:\\pcap_data\\VBR_dataset1\\mitm\15_2023_04_08_10_15_35,397,video,https://www.youtube.com/watch?v=8A0ylonIRzU,480p,290,/1463/122298/134399/468262/1114261/2051254/1831854/1776488/1837194/1953605/2021003/1969387/317244,/192.168.32.180.59354>172.217.145.74.443/192.168.32.180.59353>172.217.145.74.443,0,1,2,0,13,/1/12,/192.168.32.180.59354>172.217.145.74.443/192.168.32.180.59353>172.217.145.74.443
E:\\pcap_data\\VBR_dataset1\\mitm\15_2023_04_08_10_21_06,396,video,https://www.youtube.com/watch?v=8A0ylonIRzU,360p,290,/1463/72322/83653/333554/872027/1399450/1417632/1398820/1340445/1359375/596588,/192.168.32.180.59413>74.125.171.38.443/192.168.32.180.59414>74.125.171.38.443,0,1,2,0,11,/1/10,/192.168.32.180.59413>74.125.171.38.443/192.168.32.180.59414>74.125.171.38.443
E:\\pcap_data\\VBR_dataset1\\mitm\15_2023_04_08_10_26_33,395,video,https://www.youtube.com/watch?v=8A0ylonIRzU,240p,290,/1463/40185/50598/183674/456284/673024/706180/641887/704974/655883/425293,/192.168.32.180.59476>172.217.145.74.443/192.168.32.180.59477>172.217.145.74.443,0,1,2,0,11,/1/10,/192.168.32.180.59476>172.217.145.74.443/192.168.32.180.59477>172.217.145.74.443
